Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Check
AIDS,Teo cơ,Đốm ở cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,null,null,null,null,null,null,null,null,null,null,null,null,null,true
AIDS,Đốm ở cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
AIDS,Teo cơ,Sốt cao,Quan hệ ngoài hôn nhân,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
AIDS,Teo cơ,Đốm ở cổ họng,Quan hệ ngoài hôn nhân,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
AIDS,Teo cơ,Đốm ở cổ họng,Sốt cao,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Mụn,Phát ban,Mụn mủ,Mụn đầu đen,Rối loạn,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Mụn,Mụn mủ,Mụn đầu đen,Rối loạn,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Mụn,Phát ban,Mụn đầu đen,Rối loạn,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Mụn,Phát ban,Mụn mủ,Rối loạn,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Mụn,Phát ban,Mụn mủ,Mụn đầu đen,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan do rượu,Nôn mửa,Vàng da,Phình bụng,Chướng bụng,Tiền sử có sử dụng rượu,Tràn dịch,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan do rượu,Vàng da,Đau bụng,Phình bụng,Chướng bụng,Tiền sử có sử dụng rượu,Tràn dịch,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan do rượu,Nôn mửa,Vàng da,Đau bụng,Phình bụng,Chướng bụng,Tiền sử có sử dụng rượu,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan do rượu,Nôn mửa,Vàng da,Đau bụng,Phình bụng,Chướng bụng,Tràn dịch,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan do rượu,Nôn mửa,Vàng da,Đau bụng,Phình bụng,Tiền sử có sử dụng rượu,Tràn dịch,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan do rượu,Nôn mửa,Vàng da,Đau bụng,Chướng bụng,Tiền sử có sử dụng rượu,Tràn dịch,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan do rượu,Nôn mửa,Đau bụng,Phình bụng,Chướng bụng,Tiền sử có sử dụng rượu,Tràn dịch,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan do rượu,Nôn mửa,Vàng da,Đau bụng,Phình bụng,Chướng bụng,Tiền sử có sử dụng rượu,Tràn dịch,null,null,null,null,null,null,null,null,null,null,true
Dị ứng,Run rẩy,Ớn lạnh,Chảy nước mắt,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Dị ứng,Hắt hơi liên tục,Run rẩy,Chảy nước mắt,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Dị ứng,Hắt hơi liên tục,Run rẩy,Ớn lạnh,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Dị ứng,Hắt hơi liên tục,Run rẩy,Ớn lạnh,Chảy nước mắt,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Dị ứng,Hắt hơi liên tục,Ớn lạnh,Chảy nước mắt,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm khớp,Yếu cơ,Cứng cổ,Xưng khớp,Cứng cơ khi di chuyển,Đau khi đi,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm khớp,Cứng cổ,Xưng khớp,Cứng cơ khi di chuyển,Đau khi đi,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm khớp,Yếu cơ,Xưng khớp,Cứng cơ khi di chuyển,Đau khi đi,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm khớp,Yếu cơ,Cứng cổ,Cứng cơ khi di chuyển,Đau khi đi,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm khớp,Yếu cơ,Cứng cổ,Xưng khớp,Đau khi đi,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm khớp,Yếu cơ,Cứng cổ,Xưng khớp,Cứng cơ khi di chuyển,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Khó thở,Di truyển,Đờm nhầy,null,null,null,null,null,null,null,null,null,null,null,true
Hen phế quản,Mệt mỏi,Ho,Khó thở,Di truyển,Đờm nhầy,null,null,null,null,null,null,null,null,null,null,null,null,true
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Di truyển,Đờm nhầy,null,null,null,null,null,null,null,null,null,null,null,null,true
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Khó thở,Đờm nhầy,null,null,null,null,null,null,null,null,null,null,null,null,true
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Khó thở,Di truyển,null,null,null,null,null,null,null,null,null,null,null,null,true
Hen phế quản,Ho,Sốt cao,Khó thở,Di truyển,Đờm nhầy,null,null,null,null,null,null,null,null,null,null,null,null,true
Hen phế quản,Mệt mỏi,Sốt cao,Khó thở,Di truyển,Đờm nhầy,null,null,null,null,null,null,null,null,null,null,null,null,true
Thoái hoá đốt sống,Đau lưng,Yếu chân tay,Đau cổ,Chóng mặt,Mất thăng bằng,null,null,null,null,null,null,null,null,null,null,null,null,true
Thoái hoá đốt sống,Yếu chân tay,Đau cổ,Chóng mặt,Mất thăng bằng,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Thoái hoá đốt sống,Đau lưng,Đau cổ,Chóng mặt,Mất thăng bằng,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Thoái hoá đốt sống,Đau lưng,Yếu chân tay,Chóng mặt,Mất thăng bằng,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Thoái hoá đốt sống,Đau lưng,Yếu chân tay,Đau cổ,Chóng mặt,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Thoái hoá đốt sống,Đau lưng,Yếu chân tay,Đau cổ,Mất thăng bằng,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Thuỷ đậu,Ngứa,Phát ban,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch hầu,Khó chịu,Nổi mẫn đỏ,null,null,null,null,null,null,true
Thuỷ đậu,Ngứa,Phát ban,Mệt mỏi,Uể oải,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch hầu,Khó chịu,Nổi mẫn đỏ,null,null,null,null,null,null,null,true
Thuỷ đậu,Ngứa,Phát ban,Mệt mỏi,Uể oải,Sốt cao,Chán ăn,Sốt nhẹ,Hạch bạch hầu,Khó chịu,Nổi mẫn đỏ,null,null,null,null,null,null,null,true
Thuỷ đậu,Ngứa,Phát ban,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Sốt nhẹ,Hạch bạch hầu,Khó chịu,Nổi mẫn đỏ,null,null,null,null,null,null,null,true
Thuỷ đậu,Ngứa,Phát ban,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Khó chịu,Nổi mẫn đỏ,null,null,null,null,null,null,null,true
Thuỷ đậu,Phát ban,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch hầu,Khó chịu,Nổi mẫn đỏ,null,null,null,null,null,null,null,true
Thuỷ đậu,Ngứa,Phát ban,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Chán ăn,Hạch bạch hầu,Khó chịu,Nổi mẫn đỏ,null,null,null,null,null,null,null,true
Thuỷ đậu,Ngứa,Mệt mỏi,Uể oải,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch hầu,Khó chịu,Nổi mẫn đỏ,null,null,null,null,null,null,null,true
Thuỷ đậu,Ngứa,Phát ban,Uể oải,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch hầu,Khó chịu,Nổi mẫn đỏ,null,null,null,null,null,null,null,true
Thuỷ đậu,Ngứa,Phát ban,Mệt mỏi,Sốt cao,Đau đầu,Chán ăn,Sốt nhẹ,Hạch bạch hầu,Khó chịu,Nổi mẫn đỏ,null,null,null,null,null,null,null,true
Ứ mật mãn tính,Nôn mửa,Vàng da,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,null,null,true
Ứ mật mãn tính,Ngứa,Nôn mửa,Vàng da,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,null,null,true
Ứ mật mãn tính,Ngứa,Nôn mửa,Vàng da,Khó chịu,Chán ăn,Mắt vàng,null,null,null,null,null,null,null,null,null,null,null,true
Ứ mật mãn tính,Ngứa,Nôn mửa,Vàng da,Khó chịu,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,null,null,true
Ứ mật mãn tính,Ngứa,Nôn mửa,Vàng da,Khó chịu,Chán ăn,Đau bụng,null,null,null,null,null,null,null,null,null,null,null,true
Ứ mật mãn tính,Ngứa,Nôn mửa,Vàng da,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,null,true
Ứ mật mãn tính,Ngứa,Nôn mửa,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,null,null,true
Ứ mật mãn tính,Ngứa,Vàng da,Khó chịu,Chán ăn,Đau bụng,Mắt vàng,null,null,null,null,null,null,null,null,null,null,null,true
Cảm lạnh,Hắt hơi liên tục,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Hạch bạch hầu,Khó chịu,Đờm,Đau họng,Đỏ mắt,Áp lực xoang,Xổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,null,true
Cảm lạnh,Hắt hơi liên tục,Mệt mỏi,Ho,Sốt cao,Đau đầu,Hạch bạch hầu,Khó chịu,Đờm,Đau họng,Đỏ mắt,Áp lực xoang,Xổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,null,true
Cảm lạnh,Hắt hơi liên tục,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Đau đầu,Hạch bạch hầu,Khó chịu,Đờm,Đau họng,Đỏ mắt,Áp lực xoang,Xổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,true
Cảm lạnh,Hắt hơi liên tục,Ớn lạnh,Mệt mỏi,Ho,Đau đầu,Hạch bạch hầu,Khó chịu,Đờm,Đau họng,Đỏ mắt,Áp lực xoang,Xổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,null,true
Cảm lạnh,Hắt hơi liên tục,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Đau đầu,Khó chịu,Đờm,Đau họng,Đỏ mắt,Áp lực xoang,Xổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,null,true
Cảm lạnh,Hắt hơi liên tục,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Đau đầu,Hạch bạch hầu,Đờm,Đau họng,Đỏ mắt,Áp lực xoang,Xổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,null,true
Cảm lạnh,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Đau đầu,Hạch bạch hầu,Khó chịu,Đờm,Đau họng,Đỏ mắt,Áp lực xoang,Xổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,null,true
Cảm lạnh,Hắt hơi liên tục,Ớn lạnh,Ho,Sốt cao,Đau đầu,Hạch bạch hầu,Khó chịu,Đờm,Đau họng,Đỏ mắt,Áp lực xoang,Xổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,null,true
Cảm lạnh,Hắt hơi liên tục,Ớn lạnh,Mệt mỏi,Sốt cao,Đau đầu,Hạch bạch hầu,Khó chịu,Đờm,Đau họng,Đỏ mắt,Áp lực xoang,Xổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,null,true
Covid,Mệt mỏi,Sốt cao,Mất vị giác,Ho,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Sốt cao,Mất vị giác,Ho,Mệt mỏi,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Ho,Sốt cao,Mệt mỏi,Mất vị giác,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Mất vị giác,Mệt mỏi,Sốt cao,Ho,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Sốt cao,Ho,Mệt mỏi,Mất vị giác,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Mệt mỏi,Mất khứu giác,Sốt cao,Ho,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Mất khứu giác,Mệt mỏi,Sốt cao,Ho,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Mất vị giác,Ho,Mệt mỏi,Sốt cao,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Sốt cao,Mệt mỏi,Ho,Mất vị giác,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,true
Sốt xuất huyết,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Sụt cân,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,Uể oải,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Táo bón,Đau khi đại tiện,Đau hậu môn,Ngứa rát vùng hậu môn,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Táo bón,Đau khi đại tiện,Đau hậu môn,Đi ngoài ra máu,Ngứa rát vùng hậu môn,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Táo bón,Đau khi đại tiện,Đi ngoài ra máu,Ngứa rát vùng hậu môn,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Đau khi đại tiện,Đau hậu môn,Đi ngoài ra máu,Ngứa rát vùng hậu môn,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Táo bón,Đau khi đại tiện,Đau hậu môn,Đi ngoài ra máu,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Táo bón,Đau hậu môn,Đi ngoài ra máu,Ngứa rát vùng hậu môn,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Phản ứng với thuốc,Phát ban,Đau dạ dày,Tiểu buốt,Tiểu ra máu,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Phản ứng với thuốc,Ngứa,Phát ban,Đau dạ dày,Tiểu buốt,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Phản ứng với thuốc,Ngứa,Phát ban,Đau dạ dày,Tiểu ra máu,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Phản ứng với thuốc,Ngứa,Phát ban,Tiểu buốt,Tiểu ra máu,null,null,null,null,null,null,null,null,null,null,null,null,null,true
